,,,,,,,,,,efectivo,"0,00",,,lun 30/sep 24,,,lun 30/sep 24,"35,18",,GastosTotal,280500,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"11575,6306666666",,,mar 01/oct 24,,,mar 01/oct 24,,,porSemana,70125,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,707333332371491",,,,,,TOTAL,"262,1",,,,
tres/tres,"14.262,33",creatina,,,,,,,,,,,,,,,,,,,,
tres/seis,"16.866,50",camisetaAfa,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
dos/seis,"15.314,00",armario,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,20/05/24,,,
dos/tres,"33.054,50",filaVarios,,,,,,,,doce/doce,"21.958,33",brackets,,alquiler,,"2.053,56",,,13/05/24,,,
dos/tres,"16.000,00",vinos,,,,,,,,doce/doce,"1.657,32",jetSmart,,paracaidas,,"1.875,46",,,06/05/24,,,
dos/tres,"24.028,20",easy,,,,,,,,cinco/seis,"24.998,33",suple,,semanaCua,,"636,56",,,,,,
,"10.220,42",tarjetaMessi,,,,,,,,tres/seis,"12.209,83",chaleco,,semanaTres,,"216,56",,,,,,
,,,,,,,,,,tres/seis,"6.854,59",tabacoMayo,,semanaDos,,"116,13",,,,,,
,,,,,,,,,,uno/tres,"34.996,67",proteWorkUp,,osde,,"85,26",,,,,,
,,,,,,,,,,uno/cuatro,"18.318,44",easy,,sem3,,"80,63",,,,,,
,,,,,,,,,,sáb 27 de jul de 24,"20.000,05",nafta,,,,,,,,,,
,,,,,,,,,,lun 29 de jul de 24,"10.519,00",pedidosYa,,,,,,,,,,
,,,,,,,,,,disney+,"3.999,00",nivel6,,,,,,,,,,
,,,,,,,,,,uno/seis,"17.264,77",tabacoJulio,,,,,,,,,,
,,,,,,,,,,mar 27 de ago de 24,"-39,97",sobrante,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,varios,,,,,,,,,,,,total,0,"5064,16",0,,,,,
TOTAL,"129.745,96",,,,TOTAL,"0,00",,,,TOTAL,"172.736,36",,,,INV,REND,TOTAL,,,,,
