GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"2958,84333333332",,,mié 31/ene 24,,,mié 31/ene 24,"10,33",,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,91166666645222",,,,,,TOTAL,"737,42",,,,
diez/doce,"3.541,67",bateriaAuto,,,lun 1 de ene de 24,"2.200,00",tabaco,,,,,,,,,,,,,,,
,"-0,01",,,,dom 7 de ene de 24,"9.170,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
,,,,,jue 18 de ene de 24,"5.060,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,,agua,,"96,84",,,15/01/24,,,
,,,,,,,,,,cuatro/doce,"21.958,33",brackets,x,osde,,"496,63",,,10/01/24,,,
,,,,,,,,,,cuatro/seis,"3.686,86",taladro,x,gas,,0,,,,,,
,,,,,,,,,,cuatro/doce,"1.657,44",jetSmart,x,goCuotas,,0,,,,,,
,,,,,,,,,,tres/seis,"1.367,00",medias,x,semanaCuatro,,"2226,97",,,,,,
,,,,,,,,,,dos/seis,"21.665,00",mochi,x,semanaDos,,"79,36",,,,,,
,,,,,,,,,,uno/tres,"14.849,67",irrigador,x,semanaTres,,"79,35",,,,,,
,,,,,,,,,,mar 28 de nov de 23,"7.340,00",pedidosYa,x,vacas,,"866,86",,,,,,
,,,,,,,,,,mar 5 de dic de 23,"3.495,00",pedidosYa,x,tattoo,,"2306,28",,,,,,
,,,,,,,,,,dom 10 de dic de 23,"6.980,00",pedidosYa,x,alquiler,,"2440,27",,,08/11/23,,,
,,,,,,,,,,vie 15 de dic de 23,"7.965,00",pedidosYa,x,dentista,"10.300,00","1018,79",,,31/01/24,,,
,,,,,,,,,,tres/tres,"12.533,54",prote,x,,,0,0,,,,,
,,,,,,,,,,,"-0,82",,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,varios,,,,,,,,,,,,total,10300,"9611,35",0,,,,,
TOTAL,"3.541,66",,,,TOTAL,"16.430,00",,,,TOTAL,"103.497,02",,,,INV,REND,TOTAL,,,,,
