TARJETA,30000,"26458,3333333333",,,,,,,,aumento(?),0,,,GASTO DIARIO,,,INTMP,,,,,
,,,,,gasts,"61.176,71",<-este,,,porcentaje,0,,,jue 01/feb 24,,,jue 01/feb 24,"10,37",,,,
,,,,,rendimientos,"35.744,24",<-menos,,,,,,,vie 02/feb 24,,,vie 02/feb 24,"6,86",,,,
,,,,,mp,"902,03",<-menos,,,,,,,sáb 03/feb 24,,,sáb 03/feb 24,,,,,
,,,,,dif,"24.530,44",siNegEstamosBien,,,INGRESOS,,,dom 04/feb 24,,,dom 04/feb 24,,,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,lun 05/feb 24,"1.100,00",fideos,lun 05/feb 24,"20,90",,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"2.957,93",Resto,,mar 06/feb 24,,,mar 06/feb 24,"1,18",,FECHA,MONTO,CONCEPTO
jue 8 de feb de 24,"3.541,67",mastercard,,,sáb 10 de feb de 24,"88.000,00",alquler,,,vie 1 de sep de 23,"636.765,14",sueldo,,mié 07/feb 24,,,mié 07/feb 24,"18,97",,,,
jue 8 de feb de 24,"166.777,27",visa,,,jue 1 de feb de 24,"10.349,36",prestamo meja,,,,"11.640,28",inversiones,,jue 08/feb 24,,,jue 08/feb 24,"18,79",,sáb 3 de feb de 24,"9.738,00",pollo
vie 2 de feb de 24,"46.350,98",prestamoTres,,,jue 1 de feb de 24,"11.064,54",prestamo new,,,,,,,vie 09/feb 24,"1.700,00",birra,vie 09/feb 24,"18,86",,mié 3 de abr de 24,"7.600,00",superBirra
vie 16 de feb de 24,"1.600,00",calcos,,,jue 1 de feb de 24,"11.769,99",prestamo fibra,,,TOTAL,"651.363,35",,,sáb 10/feb 24,,,sáb 10/feb 24,,,lun 5 de feb de 24,"11.375,00",superBirra
vie 16 de feb de 24,"70.000,00",tattoo,,,mié 14 de feb de 24,"14.998,65",osde,,, ,,,,dom 11/feb 24,,,dom 11/feb 24,,,jue 8 de feb de 24,"10.285,00",polloTomm
gasts,"24.655,71",vacas,,,jue 1 de feb de 24,"7.037,09",telefono,,,DIARIO,Días restantes,Días totales,,lun 12/feb 24,,,lun 12/feb 24,,,sáb 10 de feb de 24,"2.238,00",papasPan
,,,,,mié 14 de feb de 24,"14.900,00",gym,,,2175,1,29,,mar 13/feb 24,,,mar 13/feb 24,,,lun 12 de feb de 24,"31.440,00",variosSuper
mar 20 de feb de 24,"17.000,00",aceiteMeha,,,jue 1 de feb de 24,"14.698,67",prestamoBsAS,,,,,28,,mié 14/feb 24,"3.200,00",peluCerti,mié 14/feb 24,"32,72",,mar 13 de feb de 24,"5.836,00",pollo
,,,,,lun 19 de feb de 24,"3.138,72",agua,,,TOTAL,63075,GASTADO,,jue 15/feb 24,,,jue 15/feb 24,"27,59",,mié 14 de feb de 24,"2.100,00",verdu
,,,,,lun 5 de feb de 24,"2.774,45",edesur,,,RESTO,-4256,2405,,vie 16/feb 24,"2.000,00",sube,vie 16/feb 24,"4,49",,jue 15 de feb de 24,"5.550,00",super
,,,,,jue 1 de feb de 24,"9.390,00",internet,,,SALDO,-4256,67331,,sáb 17/feb 24,,,sáb 17/feb 24,,,vie 16 de feb de 24,"9.480,00",carniceria
,,,,,mié 28 de feb de 24,"2.772,13",edesur,,,,,,,dom 18/feb 24,,,dom 18/feb 24,,,lun 19 de feb de 24,"4.450,00",verdu
,,,,,vie 2 de feb de 24,"2.564,00",poliza,,,SALDO,,,,lun 19/feb 24,"5.200,00",birrasConso,lun 19/feb 24,"49,93",,mar 20 de feb de 24,"7.739,00",pollo
