cuatro/seis,"4.509,15",bañoVarios,,,,,,,,FECHA,MONTO,CONCEPTO,,agua,0,"116,06","116,06",
cuatro/seis,"4.454,85",miBand7,,,,,,,,dos/tres,"6.666,67",pantalon,x,autito,0,"667,17","83,33","83,33"
mié 6 de sep de 23,"3.069,16",cabify,,,,,,,,,,,,osde,0,"541,3",0,
sáb 9 de sep de 23,"1.722,48",cabify,,,,,,,,uno/doce,"21.958,33",brackets,x,tattoo,0,"2294,12","2294,12",
mié 13 de sep de 23,"1.864,88",cabify,,,,,,,,dom 3 de sep de 23,"1.984,00",pedidosYa,x,,,,,
mié 13 de sep de 23,"1.895,00",cabify,,,,,,,,jue 7 de sep de 23,"8.001,00",pedidosYa,,,,total,"2493,51",
mié 13 de sep de 23,"1.951,81",cabify,,,,,,,,vie 8 de sep de 23,"7.894,00",pedidosYa,,,,,,
sáb 16 de sep de 23,"2.678,26",cabify,,,,,,,,sáb 9 de sep de 23,"6.500,00",nafta,,,,,,
mar 19 de sep de 23,"3.229,62",cabify,,,,,,,,dom 10 de sep de 23,"6.027,00",libertad,,,,,,
,,,,,,,,,,uno/seis,"3.686,86",taladro,,,,,,
,,,,,,,,,,uno/doce,"1.657,44",jetSmart,,,,,,
,,,,,,,,,,sáb 16 de sep de 23,"7.950,00",boliche,,,,,,
,,,,,,,,,,sáb 16 de sep de 23,"6.162,00",pedidosYa,,,,,,
,,,,,,,,,,lun 18 de sep de 23,"1.809,14",jetSmart,,,,,,
,,,,,,,,,,uno/tres,"12.533,54",prote,,,,,,
,,,,,,,,,,,"-2.407,86",(?),,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,"38.474,21",,,,TOTAL,"21.850,00",,,,TOTAL,"90.422,12",,,,,,,
