TARJETA,30000,"8666,3333333333",,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"2689,00000000009",,,dom 31/dic 23,,,dom 31/dic 23,,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,901666666697111",,,,,,TOTAL,"1009,4",,,,
nueve/doce,"3.541,67",bateriaAuto,,,mar 5 de dic de 23,"3.495,00",pedidosYa,,,,,,,,,,,,,,,
seis/seis,"4.509,15",bañoVarios,,,dom 10 de dic de 23,"6.980,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
seis/seis,"4.454,85",miBand7,,,vie 15 de dic de 23,"7.965,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,x,agua,"0,00","66,31",,,,,,
mar 24 de oct de 23,"8.828,00",farmaCity,,,sáb 23 de dic de 23,"4.600,00",pedidosYa,,,tres/doce,"21.958,33",brackets,x,osde,"0,00","497,53",,,,,,
,,,,,vie 29 de dic de 23,"5.100,00",pedidosYa,,,tres/seis,"3.686,86",taladro,x,gas,"0,00",126,0,,,,,
,,,,,,,,,,tres/doce,"1.657,44",jetSmart,,goCuotas,,0,,,,,,
,,,,,,,,,,tres/tres,"12.533,54",prote,x,semanaDos,0,"425,5",,,,,,
,,,,,,,,,,dos/seis,"1.367,00",medias,x,semanaTres,0,"467,28",0,,,,,
,,,,,,,,,,lun 23 de oct de 23,"5.949,00",pedidosYa,x,semanaCuatro,0,"724,69",0,,,,,
,,,,,,,,,,mié 25 de oct de 23,"5.370,00",milas,x,Tattoo(2),"0,00","1697,8",0,,,,,
,,,,,,,,,,una/seis,"21.665,00",mochi,x,tattoo,,"178,85",,,,,,
,,,,,,,,,,lun 30 de oct de 23,"6.295,00",pedidosYa,x,alquiler,0,"1873,69",,,,,,
,,,,,,,,,,jue 2 de nov de 23,"3.160,00",pedidosYa,x,dentista,"0,00","418,31",,,,,,
,,,,,,,,,,lun 6 de nov de 23,"42.525,00",remeras,,auto,0,"3026,8",0,,,,,
,,,,,,,,,,vie 17 de nov de 23,"3.420,00",pedidosYa,,,,0,0,,,,,
,,,,,,,,,,mar 21 de nov de 23,"6.795,00",pedidosYa,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,"-0,83",,,,,0,0,,,,,
,,,,,,,,,,,,,,total,0,"9502,76",0,,,,,
TOTAL,"21.333,67",,,,TOTAL,"28.140,00",,,,TOTAL,"136.381,34",,,,INV,REND,TOTAL,,,,,
