GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"3203,36500000031",,,mié 01/may 24,,,mié 01/may 24,,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-214,660000000062",,,,,,TOTAL,"131,76",,,,
,,,,,vie 29 de mar de 24,"6.165,00",pedidosYa,,,,,,,,,,,,,,,
,,,,,mar 2 de abr de 24,"6.350,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
mié 6 de mar de 24,"80.500,00",lollaGlen,,,sáb 6 de abr de 24,"12.650,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,,agua,,"157,45",,,22/04/24,,,
vie 15 de mar de 24,"11.000,00",lollaDoll,,,jue 11 de abr de 24,"12.670,00",pedidosYa,,,siete/doce,"21.958,33",brackets,x,osde,,"1369,33",,,,,,
,,,,,,,,,,siete/doce,"1.657,35",jetSmart,x,,,,,,,,,
,,,,,,,,,,seis/seis,"1.367,00",medias,x,,,,,,,,,
,,,,,,,,,,cinco/seis,"21.665,00",mochi,x,semanaSeg,,0,0,,,,,
,,,,,,,,,,tres/seis,"4.524,00",farmacia,x,semanaTer,,"787,45",,,,,,
,,,,,,,,,,tres/tres,"21.388,80",suple,x,semanaCua,,"1942,76",,,,,,
,,,,,,,,,,tres/tres,"21.305,26",tabaco,x,autito,,0,0,,,,,
,,,,,,,,,,tres/seis,"2.569,43",espejoMeha,x,tattoo,,0,0,,,,,
,,,,,,,,,,tres/tres,"3.266,33",repuestoPhi,x,alquiler,,"1710,2",,,,,,
,,,,,,,,,,dos/tres,"19.138,29",patente,x,dentista,,"532,05",,,17/04/24,,,
,,,,,,,,,,jue 22 de feb de 24,"21.999,30",nafta,x,,,"150,84",,,,,,
,,,,,,,,,,vie 23 de feb de 24,"5.980,00",pedidosYa,x,,,"126,36",,,,,,
,,,,,,,,,,mar 27 de feb de 24,"6.165,00",pedidosYa,x,Emergencia,"14983,28","4735,86","19719,14",,,,,
,,,,,,,,,,,,,,,,"1492,95",,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,total,"14983,28","13005,25","19719,14",,,,,
TOTAL,"91.500,00",,,,TOTAL,"37.835,00",,,,TOTAL,"247.471,13",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,jue 7 de mar de 24,"19.178,02",nafta,x,,,,,,,,,
,,,,,,,,,,vie 8 de mar de 24,"12.290,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,mar 12 de mar de 24,"11.190,00",super,x,,,,,,,,,
,,,,,,,,,,mié 13 de mar de 24,"6.165,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,sáb 16 de mar de 24,"39.500,00",macLolla,x,,,,,,,,,
,,,,,,,,,,mié 20 de mar de 24,"6.165,00",pedidosYa,,,,,,,,,,
,,,,,,,,,,,"-0,99",,,,,,,,,,,
