,,,,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
,,,,,,,,,,,,,,lun 01/dic 25,,,lun 01/dic 25,,GASTOS,"473.086,58",dolar blue,porHora
,,,,,,,,,,,,,,mar 02/dic 25,,,mar 02/dic 25,,PAGOS,"192.850,87",1125,40hsSem
,,,,,,,,,,,,215000,,mié 03/dic 25,,,mié 03/dic 25,,DIARIO,86800,minDolar,4
,,,,,,,,,,INGRESOS,,,jue 04/dic 25,,,jue 04/dic 25,,costoVida,"752.737,45",669,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,vie 05/dic 25,,,vie 05/dic 25,,VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"1.705,05",Resto,,sáb 06/dic 25,,,sáb 06/dic 25,,"473.086,58",FECHA,MONTO,CONCEPTO
lun 1 de dic de 25,"0,00",mastercard,,,lun 1 de dic de 25,,,,,lun 1 de dic de 25,"232.657,79",sueldo,,dom 07/dic 25,,,dom 07/dic 25,,"192.850,87",,,varios
lun 1 de dic de 25,"68.678,70",visa,,,,,,,,,"215.000,00",inversiones,,lun 08/dic 25,,,lun 08/dic 25,,86800,,,
,"29.407,88",variosMoto(6/6),,,,,,,,,"307.370,78",sueldoExtra,,mar 09/dic 25,,,mar 09/dic 25,,total,,,
,"375.000,00",mudanza,,,,,,,,TOTAL,"756.733,62",,,mié 10/dic 25,,,mié 10/dic 25,,752737,,,
,,,,,,,,,, ,,,,jue 11/dic 25,,,jue 11/dic 25,,sueldoDolar,,,
,,,,,,"23.000,04",telefono,,,DIARIO,Días restantes,Días totales,,vie 12/dic 25,,,vie 12/dic 25,,669,,,
,,,,,,,gym,,,2800,30,31,,sáb 13/dic 25,,,sáb 13/dic 25,,,,,
,,,,,,,Osde | dientes,,,,,1,,dom 14/dic 25,,,dom 14/dic 25,,sueldoDolar,,,
,,,,,,"9.850,83",prestamoMeja,62,72,TOTAL,86800,GASTADO,,lun 15/dic 25,,,lun 15/dic 25,,porHora,,,
,,,,,,"160.000,00",prestamoMoto,6,60,RESTO,2893,0,,mar 16/dic 25,,,mar 16/dic 25,,"5,00",,,
,,,,,,,,,,SALDO,86800,0,,mié 17/dic 25,,,mié 17/dic 25,,mes,,,
,,,,,,,,,,,,,,jue 18/dic 25,,,jue 18/dic 25,,800,,,
