,,,,,,,,,,SALDO,,,,vie 19/dic 25,,,vie 19/dic 25,,,,,
,,,,,,,,,,,,,,sáb 20/dic 25,,,sáb 20/dic 25,,,,,
,,,,,,,,,,TOTAL,"3.996,17","-36003,83",,dom 21/dic 25,,,dom 21/dic 25,,diferencia,,,
,,,,,,,,,,,"-228661,616973334",,,lun 22/dic 25,,,lun 22/dic 25,,dolar,,,
,,,,,,,,,,,,,,mar 23/dic 25,,,mar 23/dic 25,,131,,,
,,,,,,"0,00",eze,,,,,,,mié 24/dic 25,,,mié 24/dic 25,,pesos,,,
,,,,,,,,,,,,,,jue 25/dic 25,,,jue 25/dic 25,,147263,,,
,,paracaidas,,,,,retro,,,rendimientosReservas,0,,,vie 26/dic 25,,,vie 26/dic 25,,,,,
TOTAL,"473.086,58",,,,TOTAL,"192.850,87",,,,,,,,sáb 27/dic 25,,,sáb 27/dic 25,,,TOTAL,"0,00",
,,,,,,,,,,saldoMercadoPago,"299.616,48",,,dom 28/dic 25,,,dom 28/dic 25,,casa,Estipulado,200000,
,,,,,,,,,,saldoBanco,"340.341,74",,,lun 29/dic 25,,,lun 29/dic 25,,73631,promedioReal,50000,
,,,,,,,,,,efectivo,,,,mar 30/dic 25,,,mar 30/dic 25,,,promedioCalculado,21700,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"639958,221666667",,,mié 31/dic 25,,,mié 31/dic 25,,,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"635962,05",,,,,,TOTAL,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,disney+,"18.399,00",nivel6,,emergencia,"491,72",,"491,720000000001",,,lun 1 de dic de 25,"303.580,00",sueldo
,,,,,,,,,,,,,,alquiler,"0,00",,,,,,,
,,,,,,,,,,doce/doce,"1.249,92",mouse,,,,,,,,,"215.000,00",ahorroRescat
,,,,,,,,,,once/doce,"5.425,00",shortsRosario,,,,,,,,,,
,,,,,,,,,,diez/treinta,"9.571,60",monitor,,semanaTer,"21.700,00",0,21700,,,,,
,,,,,,,,,,seis/seis,"30.966,67",camAnsilt,,semanaCua,"21.700,00",0,21700,,,,,
,,,,,,,,,,cinco/seis,"3.066,51",auris,,semanaDos,"21.700,00",0,21700,,,,,
,,,,,,,,,,,,,,telefono,"23.000,04",0,"23000,04",,,,,
,,,,,,,,,,,,,,algo,"71.700,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,"0,00",varios,,,,,,,,,,varios,,total,"160291,76",0,"88591,76",,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"68.678,70",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"345.736,12",,,,,,,,,,,,,,,,,,,,
,autito,0,,,,,,,,,,,,,,,,,,,"4.835,00",binanceTotal
,emergencia,"491,720000000001",,,,,,,,,,,,,,,,,,,,
,binanceTotal,"219.835,00",,,,,,,,,,,,,,,,,,,,
,total,"1.705,05",,,,,,,,,,,,,,,,,,,,
,sueldo,"232.657,79",,,,,,,,,,,,,,,,,,,,
