FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-1244,29500000032",,,,,,TOTAL,"626,14",,,,
,,,,,dom 9 de jun de 24,"13.477,00",pedidosYa,,,,,,,,,,,,,,,
,,,,,mar 11 de jun de 24,"14.494,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
dom 28 de abr de 24,"20.000,00",nafta,,,mié 19 de jun de 24,"13.417,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,,agua,,"69,89",,,,,,
mar 7 de may de 24,"27.408,00",farmacia,,,jue 20 de jun de 24,"6.245,00",pedidosYa,,,nueve/doce,"21.958,33",brackets,x,alquiler,,"1378,37",,,,,,
,,,,,vie 21 de jun de 24,"12.019,00",pedidosYa,,,nueve/doce,"1.657,44",jetSmart,x,autito,,"588,06",,,,,,
,,,,,vie 28 de jun de 24,"7.545,00",pedidosYa,,,cinco/seis,"4.524,00",farmacia,x,dentista,,"138,16",,,,,,
,,,,,,,,,,cinco/seis,"2.569,43",espejoMeha,,osde,,"450,82",,,,,,
,,,,,,,,,,dos/seis,"24.998,33",mochi,x,,,,,,,,,
,,,,,,,,,,dos/tres,"13.000,42",chalecoNa,x,semanaTres,,"17,61",,,,,,
,,,,,,,,,,dos/tres,"78.291,35",borcegos,,sem3,"49752,31","922,45","50674,76",,,,,
,,,,,,,,,,jue 25 de abr de 24,"39.599,00",reloj,x,semanaCua,,"656,53",,,,,,
,,,,,,,,,,,"-40,12",(?),,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,varios,,total,"49752,31","4221,89","50674,76",,,,,
TOTAL,"47.408,00",,,,TOTAL,"67.197,00",,,,TOTAL,"186.558,19",,,,INV,REND,TOTAL,,,,,
