TARJETA,20000,"-139051,036666667",,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"5357,05666666663",,,sáb 31/ago 24,,,sáb 31/ago 24,,por semana,"56194,25",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-8066,03500000063",,,,,,TOTAL,"345,98",,,,
dos/tres,"14.262,33",creatina,,,,,,,,,,,,,,,,,,,,
dos/seis,"16.866,50",camisetaAfa,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,vencimientos,,,,,
mié 19 de jun de 24,"13.417,00",pedidosYa,,,,,,,,FECHA,MONTO,CONCEPTO,,agua,,"40,04",,,,,,
jue 20 de jun de 24,"6.245,00",pedidosYa,,,,,,,,once/doce,"21.958,33",brackets,,alquiler,,"1502,89",,,,,,
vie 21 de jun de 24,"12.019,00",pedidosYa,,,,,,,,once/doce,"1.657,44",jetSmart,,autito,,"1265,64",,,,,,
vie 28 de jun de 24,"7.545,00",pedidosYa,,,,,,,,cuatro/seis,"24.998,33",mochi,,dentista,,"439,12",,,,,,
uno/seis,"15.314,00",armario,,,,,,,,dos/seis,"12.210,00",chaleco,,edesur,,"44,08",,,,,,
uno/tres,"33.054,50",filaVarios,,,,,,,,dos/seis,"6.854,60",tabacoMayo,,osde,,"1244,36",,,12/08/24,,,
uno/tres,"16.000,00",vinos,,,,,,,,vie 21 de jun de 24,"20.000,00",nafta,,semanaCua,"8016,76","2049,26","10066,02",,,,,
uno/tres,"24.028,20",easy,,,,,,,,disney+,"3.999,00",nivel6,,semanaDos,,"392,93",,,,,,
mié 7 de ago de 24,"299,50",diferencia,,,,,,,,mié 7 de ago de 24,"-40,28",diferencia,,semanaTres,,"897,02",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"0,00",,,,,
,,,,,,,,,,,,,,,,"0,00","0,00",,,,,
,,,,,,,,,,,,,,,,"0,00","0,00",,,,,
,,,,,,,,,,,,,,,,"0,00","0,00",,,,,
,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,
,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,
,,,,,,,,,,,,,,,"0,00","0,00","0,00",,,,,
,,,,,,,,,,,,,,total,"8016,76","7875,34","10066,02",,,,,
TOTAL,"159.051,04",,,,TOTAL,"0,00",,,,TOTAL,"91.637,43",,,,INV,REND,TOTAL,,,,,
