FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,901666666315691",,,,,,TOTAL,"432,41",,,,
doce/doce,"3.541,67",bateriaAuto,x,,mar 27 de feb de 24,"6.165,00",pedidosYa,,,,,,,,,,,,,,,
,,,,,vie 8 de mar de 24,"12.290,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
,,,,,mié 13 de mar de 24,"6.165,00",pedidosYa,,,FECHA,MONTO,CONCEPTO,,agua,,"164,26",,,25/03/24,,,
vie 2 de feb de 24,"69.000,00",lollapalooza,x,,mié 20 de mar de 24,"6.165,00",pedidosYa,,,seis/doce,"21.958,33",brackets,x,osde,,"929,13",,,10/03/24,,,
dom 4 de feb de 24,"69.000,00",lollapalooza,x,,,,,,,seis/doce,"1.657,44",jetSmart,x,gas,"3.149,10","177,53","3326,63",,08/03/24,,,
,,,,,,,,,,seis/seis,"3.686,86",taladro,x,,,,,,,,,
,,,,,,,,,,cinco/seis,"1.367,00",medias,x,semanaCua,"15061,89","1649,05","16710,94",,,,,
,,,,,,,,,,cuatro/seis,"21.665,00",mochi,x,semanaSeg,,"1094,58",,,,,,
,,,,,,,,,,tres/tres,"14.849,67",irrigador,,semanaTer,,"390,04",,,,,,
,,,,,,,,,,dos/seis,"4.524,00",farmacia,x,autito,,0,0,,,,,
,,,,,,,,,,dos/tres,"21.388,80",suple,,tattoo,,"164,07",,,,,,
,,,,,,,,,,dos/tres,"21.305,26",tabaco,,alquiler,,"206,27",,,,,,
,,,,,,,,,,dos/seis,"2.569,43",espejoMeha,,dentista,,"168,61",,,,,,
,,,,,,,,,,dos/tres,"3.266,33",repuestoPhi,,vacas,,"1376,33",,,,,,
,,,,,,,,,,uno/tres,"19.138,29",patente,x,lollaGlen,80500,"4039,34","84539,34",,,,,
,,,,,,,,,,jue 25 de ene de 24,"15.000,00",nafta,x,tattooN,,"394,49",,,,,,
,,,,,,,,,,dom 28 de ene de 24,"5.060,00",pedidosYa,x,ahorroWuu,"69.000,00","1114,96","70114,96",,,,,
,,,,,,,,,,mar 30 de ene de 24,"16.900,00",marcoPara,,,,0,0,,,,,
,,,,,,,,,,mar 30 de ene de 24,"5.832,77",superBirra,,,,0,0,,,,,
,,varios,,,,,,,,,,,,total,"167710,99","11868,66","174691,87",,,,,
TOTAL,"141.541,67",,,,TOTAL,"30.785,00",,,,TOTAL,"235.456,26",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mié 31 de ene de 24,"20.128,17",dentista,x,,,,,,,,,
,,,,,,,,,,mié 31 de ene de 24,"11.255,38",nafta,x,,,,,,,,,
,,,,,,,,,,jue 1 de feb de 24,"3.549,38",super,x,,,,,,,,,
,,,,,,,,,,jue 1 de feb de 24,"5.335,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,dom 4 de feb de 24,"3.060,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,vie 9 de feb de 24,"5.980,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,jue 15 de feb de 24,"5.980,00",pedidosYa,x,,,,,,,,,
,,,,,,,,,,,"-0,86",,,,,,,,,,,
