,,,,,,,,,,jue 7 de abr de 49,"17.996,00",rodilloCalovento,,,,,,
,,,,,,,,,,jue 3 de ago de 23,"11.006,43",impuestosBot,,,,,,
,,,,,,,,,,sáb 5 de ago de 23,"6.969,00",pedidosYa,,,,,,
,,,,,,,,,,mié 9 de ago de 23,"15.323,00",metroGas,,,,,,
,,,,,,,,,,uno/tres,"6.666,67",pantalon,,,,,,
,,,,,,,,,,mié 23 de ago de 23,"700,00",dentista,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,"59.467,33",,,,TOTAL,"1.984,00",,,,TOTAL,"162.749,58",,,,,,,
