,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,vie 01/ene 21,"735,00",vino
,,,,,,,,,,,,,,sáb 02/ene 21,"0,00",
,,,,,,,,,,,,,,dom 03/ene 21,"0,00",
,,,,,,,,,,,,,,lun 04/ene 21,"500,00",futbol y café chico
GASTOS,,,,PAGOS,,,,INGRESOS,,,mar 05/ene 21,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mié 06/ene 21,"2.196,00",super
sáb 4 de dic de 21,"527,82",¿?,,,vie 1 de ene de 21,"3.204,00",préstamo,,,,"1.293,66",Resto,,jue 07/ene 21,"560,00",volde y yerba
sáb 4 de dic de 21,"110,60",¿?,,,mié 6 de ene de 21,"7.300,00",abuela,,,vie 1 de ene de 21,"65.277,00",sueldo,,vie 08/ene 21,"1.000,00",lomo café y mas
lun 11 de ene de 21,"3.750,00","calza, pantalon",,,sáb 9 de ene de 21,"1.150,00",telefono,,,,,,,sáb 09/ene 21,"350,00",frutas
,,medio mes,,,,,,,,TOTAL,"66.570,66",,,dom 10/ene 21,"0,00",
,,,,,,,,,, ,,,,lun 11/ene 21,"200,00",futrbo
,"24.300,00",,,,mar 5 de ene de 21,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,mar 12/ene 21,,
,"200,00",,,,,,gastos Varios,,,250,20,31,,mié 13/ene 21,,
,"70,00",,,,vie 1 de ene de 21,"10.823,00",auto,,,,,11,,jue 14/ene 21,,
,,,,,,,,,,TOTAL,7750,GASTADO,,vie 15/ene 21,,
,,,,,,,,,,RESTO,110,504,,sáb 16/ene 21,,
,,,,,,,,,,SALDO,2209,5541,,dom 17/ene 21,,
,,,,,,,,,,,,,,lun 18/ene 21,,
,,,,,,,,,,SALDO,,,,mar 19/ene 21,,
,,,,,,,,,,,,,,mié 20/ene 21,,
,,,,,,,,,,TOTAL,"7.594,24",,,jue 21/ene 21,,
,,,,,,,,,,,"6300,58",,,vie 22/ene 21,,
,,,,,,,,,,,,,,sáb 23/ene 21,,
,,,,,,,,,,,,,,dom 24/ene 21,,
,,,,,,,,,,,,,,lun 25/ene 21,,
,,,,,,,,,,,,,,mar 26/ene 21,,
TOTAL,"28.958,42",,,,TOTAL,"24.477,00",,,,,,,,mié 27/ene 21,,
,,,,,,,,,,,,,,jue 28/ene 21,,
,,,,,,,,,,,,,,vie 29/ene 21,,
,,,,,,,,,,,,,,sáb 30/ene 21,,
,,,,,,,,,,,,,,dom 31/ene 21,,
