,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,lun 01/nov 21,"1.730,00",futbol lomo
,,,,,,,,,,,,,,mar 02/nov 21,"300,00",fruta y verdura
,,,,,,,,,,,,,,mié 03/nov 21,"0,00",
,,,,,,,,,,,,,,jue 04/nov 21,"50,00",pan
GASTOS,,,,PAGOS,,,,INGRESOS,,,vie 05/nov 21,"920,00",fulbo y frutas,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,sáb 06/nov 21,"460,00",tabaco lillos pan
sáb 30 de oct de 21,"5.500,00",jalowin,,,sáb 30 de oct de 21,"3.104,00",préstamo,,,,"-17.726,25",Resto,,dom 07/nov 21,"2.110,00",fernet y taxi
lun 1 de nov de 21,"400,00",inscripcion,,,mar 9 de nov de 21,"21.000,00",alquler,,,sáb 30 de oct de 21,"108.578,00",sueldo,,lun 08/nov 21,"0,00",
lun 1 de nov de 21,"2.750,00",muslera,,,jue 4 de nov de 21,"2.343,82",telefono,,,,,,,mar 09/nov 21,"1.970,00",huevos pan lomo
lun 1 de nov de 21,"3.870,00",super,,,lun 1 de nov de 21,"5.241,17",osde,,,TOTAL,"90.851,75",,,mié 10/nov 21,"0,00",
mié 3 de nov de 21,"1.900,00",la konga,,,,,,,, ,,,,jue 11/nov 21,"0,00",
vie 5 de nov de 21,"1.050,00",pollo,,,jue 4 de nov de 21,"2.200,00",gym,,,DIARIO,Días restantes,Días totales,,vie 12/nov 21,"900,00",lomo con papas y helado
vie 12 de nov de 21,"1.646,00",stickers,,,mes pasado,,box,,,700,1,31,,sáb 13/nov 21,"490,00",pan birra coca
,,,,,sáb 30 de oct de 21,"10.745,00",auto,,,,,30,,dom 14/nov 21,"0,00",
jue 18 de nov de 21,"590,00",limpieza,,,lun 1 de nov de 21,"2.250,00",internet,,,TOTAL,21700,GASTADO,,lun 15/nov 21,"50,00",pan
jue 18 de nov de 21,"1.008,00",pollo,,,lun 1 de nov de 21,"904,00",comision(?),,,RESTO,-1568,776,,mar 16/nov 21,"1.400,00",lomo birra
sáb 27 de nov de 21,"1.230,00",pollo y mila,,,jue 4 de nov de 21,"5.612,75",bici,,,SALDO,-1568,23268,,mié 17/nov 21,"0,00",
sáb 27 de nov de 21,"9.400,00",suple,,,jue 4 de nov de 21,"2.753,00",borcegos,,,,,,,jue 18/nov 21,"1.210,00",furtas verduras
lun 29 de nov de 21,"1.749,08",(?),,,lun 1 de nov de 21,"408,23",luz,,,SALDO,,,,vie 19/nov 21,"2.600,00",joda futbol
lun 29 de nov de 21,"2.980,00",super,,,jue 11 de nov de 21,"815,95",luz,,,,,,,sáb 20/nov 21,"72,82",
,,,,,,,,,,TOTAL,"-23.867,07",,,dom 21/nov 21,"100,00",pan
,,,,,,,,,,,"-6140,82",,,lun 22/nov 21,"1.470,00",lomo birra
,,,,,,,,,,,,,,mar 23/nov 21,"0,00",
,,,,,,,,,,,,,,mié 24/nov 21,"1.400,00",birra lomo y cabify
,,,,,,,,,,,,,,jue 25/nov 21,"1.485,00",costi
,,,,,,,,,,,,,,vie 26/nov 21,"1.260,00",fiambre aceite tomate papa fitbol
TOTAL,"34.073,08",,,,TOTAL,"57.377,92",,,,,,,,sáb 27/nov 21,"50,00",pan
,,,,,,,,,,,,,,dom 28/nov 21,"700,00",propina helado
,,,,,,,,,,,"-23867,07",,,lun 29/nov 21,"1.040,00",huevos pan avena futbol frutas
,10138,,,,1500,,3500,,,,0,,,mar 30/nov 21,,
,0,,,,1500,,880,,,,,,,mié 01/dic 21,"1.500,00",
,,,,,1000,,350,,,INNECESARIOS,8870,,,,,
,,,,,1485,,5485,,,,"14397,82","464,445806451613",,,,
