TARJETA,,0,,,eze(?),-230000,,,,,,,,GASTO DIARIO,,,INTMP,,,,,,,
,,,,,,,,,,efectivo,"200,00",,,mié 30/abr 25,"3.240,00",panSube,mié 30/abr 25,"13,47",,promedioCalculado,"141561,26",,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"125601,701176666",,,jue 01/may 25,,,jue 01/may 25,,,por semana,82100,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,734676671287161",,,,,,TOTAL,"906,3",,,,,,
,,,,,vie 18 de abr de 25,"27.019,00",comida,,,,,,,,,,,,,,,,,
,,,,,dom 20 de abr de 25,"19.579,00",comida,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,,,
,,,,,lun 21 de abr de 25,"3.660,29",cabi,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO,,
,,,,,,,,,,disney+,"15.299,00",nivel6,,emergencia,"0,00",,0,,,mar 1 de abr de 25,"950.000,00",sueldo,,
,,,,,,,,,,siete/nueve,"18.493,92",pasajes,x,,,,,,,,,,,
,,,,,,,,,,seis/seis,"9.867,20",camisa,x,,,,,,,mié 2 de abr de 25,"100.000,00",ahorro,,
,,,,,,,,,,cinco/doce,"4.915,75",bermudaAdidas,x,,,,,,,sáb 5 de abr de 25,"10.000,00",cry,,
,,,,,,,,,,cuatro/seis,"19.830,00",blancoNegro,x,,,,,,,vie 11 de abr de 25,"229.000,00",alquiler,,
,,,,,,,,,,cuatro/doce,"1.249,92",mouse,x,,,,,,,vie 11 de abr de 25,"60.000,00",efectivo,,
,,,,,,,,,,tres/doce,"5.425,00",shortsRosario,x,,,,,,,jue 17 de abr de 25,"25.000,00",marim,,
,,,,,,,,,,dos/treinta,"9.571,60",monitor,x,,,,,,,,,,,
,,,,,,,,,,uno/tres,"9.866,67",llaveros,x,,,,,,,,,,,
,,,,,,,,,,uno/tres,"19.047,00",tvStick,x,,"0,00",,,,,,,,,
,,,,,,,,,,,"-57.141,00",devoulción,x,,"0,00",0,0,,,,,,,
,,,,,,,,,,dos/tres,"19.047,00",tvStick,x,,"0,00",,,,,,,,,
,,,,,,,,,,tres/tres,"19.047,00",tvStick,x,vacas,,"5010,77",,,,,,,,
,,,,,,,,,,,"-2,58",devoulción,,dentista,,"1159,57",,,,,,,,
,,,,,,,,,,,,,,alquiler,,"1844,77",,,,,,,,
,,,,,,,,,,,,,,telefono,,"147,07",,,,,,,,
,"0,00",varios,,,,,,,,,,,,total,0,"8309,25",0,,,,,,,
TOTAL,"0,00",,,,TOTAL,"50.258,29",,,,TOTAL,"94.516,47",,,,INV,REND,TOTAL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"15.802,81",,,,,,,,,,,,,,,,,,,"110.000,00",binanceMes,,
,dentista,0,,,,,,,,,,,,,,,,,,,"779.835,00",binanceTotal,,
,emergencia,0,,,,,,,,,,,,,,,,,,,,,,
,binanceTotal,"669.835,00",,,,,,,,,,,,,,,,,,,,,,
,total,"15.878,95",,,,,,,,,,,,,,,,,,2 de abril,"626,32",usdt,,
,sueldo,"962.006,83",,,,,,,,,,,,,,,,,,,1323,venta,,
,,,,,,,,,,,,,,,,,,,,,"828621,36",total,,
,,,,,,,,,,,,,,,,,,,,,"48786,3600000001",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6 de abril,"633,33",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1341,61",venta,,
,,,,,,,,,,,,,,,,,,,,,"849681,8613",total,,
,,,,,,,,,,,,,,,,,,,,,"69846,8613",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8 de abril,"634,02",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1373,61",venta,,
,,,,,,,,,,,,,,,,,,,,,"870896,2122",total,,
,,,,,,,,,,,,,,,,,,,,,"91061,2122",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8 de abril,"634,13",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1368,9",venta,,
,,,,,,,,,,,,,,,,,,,,,"868060,557",total,,
,,,,,,,,,,,,,,,,,,,,,"88225,557",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11 de abril,"634,18",usdt,,
,,,,,,,,,,,,,,,,,,,,,1378,venta,,
,,,,,,,,,,,,,,,,,,,,,"873900,04",total,,
,,,,,,,,,,,,,,,,,,,,,"94065,0399999999",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de abril,"634,72",usdt,,
,,,,,,,,,,,,,,,,,,,,,1210,venta,,
,,,,,,,,,,,,,,,,,,,,,"768011,2",total,,
,,,,,,,,,,,,,,,,,,,,,"-11823,7999999999",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de abril,"634,77",usdt,,
,,,,,,,,,,,,,,,,,,,,,1160,venta,,
,,,,,,,,,,,,,,,,,,,,,"736333,2",total,,
,,,,,,,,,,,,,,,,,,,,,"-43501,8",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de abril,"635,23",usdt,,
,,,,,,,,,,,,,,,,,,,,,1205,venta,,
,,,,,,,,,,,,,,,,,,,,,"765452,15",total,,
,,,,,,,,,,,,,,,,,,,,,"-14382,85",,,
