,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mié 01/sep 21,"0,00",
,,,,,,,,,,,,,,jue 02/sep 21,"0,00",
,"-10.390,00",,,,,,,,,,,,,vie 03/sep 21,"1.420,00",birra lomo y pan
,,,,,,,,,,,,,,sáb 04/sep 21,"700,00",farmacia
GASTOS,,,,PAGOS,,,,INGRESOS,,,dom 05/sep 21,,curso,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,lun 06/sep 21,,curso
mar 17 de ago de 21,"3.000,00",señaMary,,,mié 1 de sep de 21,"3.126,12",préstamo,,,,"6.588,00",Resto,,mar 07/sep 21,,curso
mié 25 de ago de 21,"3.540,00",10remeras pantalon,,,mié 1 de sep de 21,"21.000,00",alquler,,,mié 1 de sep de 21,"84.501,21",sueldo,,mié 08/sep 21,,curso
jue 26 de ago de 21,"1.330,00",super,,,jue 23 de sep de 21,"1.298,00",telefono,,,,"118.651,62",,,jue 09/sep 21,,curso
jue 26 de ago de 21,"1.640,00",medias negras,,,mar 21 de sep de 21,"4.488,86",osde,,,TOTAL,"209.740,83",,,vie 10/sep 21,,curso
jue 26 de ago de 21,"880,00",ferreteria curso,,,,,,,, ,,,,sáb 11/sep 21,,curso
,"-10.390,00",pagado ia,,,,,gym,,,DIARIO,Días restantes,Días totales,,dom 12/sep 21,,curso
jue 2 de sep de 21,"3.950,00",botiquin,,,,,,,,196,3,31,,lun 13/sep 21,,curso
vie 3 de sep de 21,"2.000,00",cumple mama,,,mié 1 de sep de 21,"10.762,91",auto,,,,,28,,mar 14/sep 21,,curso
vie 3 de sep de 21,"310,00",mochi y cordones,,,mar 21 de sep de 21,"2.099,50",internet,,,TOTAL,6076,GASTADO,,mié 15/sep 21,,curso
sáb 4 de sep de 21,"2.900,00",super,,,,"750,00",comision(?),,,RESTO,2,217,,jue 16/sep 21,,curso
,,,,,jue 23 de sep de 21,"6.000,00",bici,,,SALDO,6,6070,,vie 17/sep 21,,curso
,,,,,mar 21 de sep de 21,"4.409,81",luz,,,,,,,sáb 18/sep 21,,curso
,"5.500,00",pasajes,,,mar 21 de sep de 21,"793,90",gas,,,SALDO,,,,dom 19/sep 21,,curso
lun 27 de sep de 21,"76.811,00",devolución,,,mar 21 de sep de 21,"2.470,00",internet,,,,,,,lun 20/sep 21,,curso
dom 26 de sep de 21,"65.632,73",gastos curso,,,,,,,,TOTAL,"-11.932,00",,,mar 21/sep 21,,curso
mié 29 de sep de 21,"1.300,00",pollo,,,,,,,,,-18520,,,mié 22/sep 21,,curso
,,,,,,,,,,,,,,jue 23/sep 21,,curso
,,,,,,,,,,,,,,vie 24/sep 21,,curso
,,,,,,,,,,,,,,sáb 25/sep 21,,curso
,,,,,,,,,,,,,,dom 26/sep 21,,curso
TOTAL,"158.403,73",,,,TOTAL,"57.199,10",,,,,,,,lun 27/sep 21,"250,00",futbol
,,,,,,,,,,,,,,mar 28/sep 21,"1.710,00","tabaco, birra y lomo"
,,,,,,,,,,,,,,mié 29/sep 21,"540,00","limpieza, pan"
,,,,,,,,,,,,,,jue 30/sep 21,"1.450,00","pan, lomo, birra"
,,,,,,,,,,,,,,vie 01/oct 21,,
