GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"15857,994673333",,,lun 31/mar 25,"7.200,00",panPelu,lun 31/mar 25,"8,92",,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-20,9546766717121",,,,,,TOTAL,"182,01",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,disney+,"15.299,00",nivel6,,emergencia,,,0,,,sáb 1 de mar de 25,"815.000,00",sueldo
,,,,,,,,,,dos/doce,"5.425,00",shortsRosario,,,,,,,,vie 14 de mar de 25,"8.000,00",milaPedidos
,,,,,,,,,,tres/doce,"1.249,92",mouse,,,,,,,,lun 17 de mar de 25,"50.000,00",cry
,,,,,,,,,,tres/seis,"19.830,00",blancoNegro,,,,,,,,dom 23 de mar de 25,"15.325,00",comida
,,,,,,,,,,cuatro/doce,"4.915,75",bermudaAdidas,,,,,,,,mié 26 de mar de 25,"13.600,00",comilona
,,,,,,,,,,cinco/seis,"9.867,20",camisa,,,,,,,,,,
,,,,,,,,,,seis/seis,"22.466,70",zaps,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,seis/nueve,"18.493,92",pasajes,,dentista,,"1421,48",,,,,,
,,,,,,,,,,seis/seis,"15.583,17",auris,,semanaCuatro,,"1329,42",,,,,,
,,,,,,,,,,tres/tres,"11.666,67",correaje,,osde,,"687,43",,,,,,
,,,,,,,,,,uno/treinta,"9.571,60",monitor,,semanaTres,,"691,43",,,,,,
,,,,,,,,,,,"-2,65",,,semanaDos,,"199,86",,,,,,
,,,,,,,,,,,,,,gym,,"171,69",,,,,,
,,,,,,,,,,,,,,alquiler,,"975,19",,,,,,
,,,,,,,,,,,,,,telefono,,"56,52",,,,,,
,"0,00",varios,,,,,,,,,,varios,,total,0,"5589,54",0,,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"134.366,27",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"4.339,18",,,,,,,,,,,,,,,,,,,"50.000,00",binanceMes
,autito,0,,,,,,,,,,,,,,,,,,,"669.835,00",binanceTotal
,emergencia,0,,,,,,,,,,,,,,,,,,,,
,binanceTotal,"619.835,00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10 de marzo,"510,76",usdt
