,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,sáb 01/oct 22,"0,00",
,,,,,,,,,,,,,,dom 02/oct 22,"0,00",
,,,,,,,,,,,,,,lun 03/oct 22,"400,00",futbol
,,,,,,,,,,,,,,mar 04/oct 22,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,mié 05/oct 22,"330,00",birra,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,jue 06/oct 22,"0,00",
mié 5 de oct de 22,"43.849,06",tarjeta,,,sáb 8 de oct de 22,"31.800,00",alquler,,,,"43.511,97",Resto,,vie 07/oct 22,"1.830,00",lomo papas
,,,,,sáb 1 de oct de 22,"11.183,67",prestamo new,,,lun 1 de ago de 22,"205.062,68",sueldo,,sáb 08/oct 22,"100,00",pan
mar 4 de oct de 22,"12.030,00",meha viejo,,,sáb 1 de oct de 22,"10.623,94",prestamo meja,,,lun 24 de oct de 22,"64.191,68",plazofijo,,dom 09/oct 22,"0,00",
mié 12 de oct de 22,"22.530,17",dolares vicky,,,sáb 1 de oct de 22,"5.612,75",bici,,,TOTAL,"312.766,33",,,lun 10/oct 22,"0,00",
lun 17 de oct de 22,"10.000,00",marimba,,,sáb 1 de oct de 22,"2.343,82",telefono,,, ,,,,mar 11/oct 22,"0,00",
mar 18 de oct de 22,"3.672,55",medicamentos,,,mar 4 de oct de 22,"5.000,00",gym,,,DIARIO,Días restantes,Días totales,,mié 12/oct 22,"0,00",
mar 18 de oct de 22,"-22.531,00",devo viky,,,mié 5 de oct de 22,"1.000,00",internet,,,650,0,31,,jue 13/oct 22,"50,00",pan
sáb 22 de oct de 22,"2.600,00",(?),,,vie 7 de oct de 22,"10.581,42",osde,,,,,31,,vie 14/oct 22,"1.600,00",fernet
jue 27 de oct de 22,"20.000,00",mehari fibra,,,Wed 12 de Oct de 22,"75,00",mercado pag,,,TOTAL,8330,GASTADO,,sáb 15/oct 22,"2.080,00",Birras-parque
,,,,,mié 12 de oct de 22,"-1.000,00",zapasmatre,,,RESTO,150,265,,dom 16/oct 22,"0,00",
dom 23 de oct de 22,"4.800,23",super,,,vie 14 de oct de 22,"2.002,38",gas,,,SALDO,150,8180,,lun 17/oct 22,"100,00",orina
dom 23 de oct de 22,"1.270,00",tabaco,,,sáb 22 de oct de 22,"-3.000,00",zapsmias,,,,,,,mar 18/oct 22,"0,00",
dom 2 de oct de 22,"2.705,00",frutas huevo taba,,,sáb 22 de oct de 22,"2.169,97",coop electri,,,SALDO,,,,mié 19/oct 22,"0,00",
lun 3 de oct de 22,"2.900,00",pollo,,,mar 25 de oct de 22,"10.581,42",osde,,,,,,,jue 20/oct 22,"0,00",
lun 10 de oct de 22,"1.020,00",mila pan,,,,,,,,TOTAL,"124.642,52",,,vie 21/oct 22,"1.000,00",aceite coca
mié 12 de oct de 22,"5.060,00",varios,,,,,,,,,"81130,5533333331",,,sáb 22/oct 22,"0,00",
vie 14 de oct de 22,"2.060,00",pollo,,,,,,,,,,,,dom 23/oct 22,"0,00",
mar 18 de oct de 22,"560,00",verdu pan,,,,,,,,,,,,lun 24/oct 22,"0,00",
mié 19 de oct de 22,"1.180,00",verdu pan,,,mié 12 de oct de 22,"-17.600,00",Despedida-fallida,,,,,,,mar 25/oct 22,"0,00",
lun 24 de oct de 22,"2.820,00",pollo verdu,,,sáb 1 de oct de 22,"-7.956,57",madre,,,,,,,mié 26/oct 22,"100,00",pan
TOTAL,"116.526,01",,,,TOTAL,"63.417,80",,,,,,,,jue 27/oct 22,"330,00",birra
,,,,,,,,,,,,,,vie 28/oct 22,,
,,,,,,,,,,SALDO BANCO,"124439,43",,,sáb 29/oct 22,"260,00",pan
,,,,,,,,,,EFECTIVO,200,,,dom 30/oct 22,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"124639,43",,,lun 31/oct 22,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-3,09333333323593",,,,,
dom 28 de ago de 22,"1.369,00",pedidoya,,,mié 12 de oct de 22,"1.598,00",pedidoya,,,,,,,,,
mar 30 de ago de 22,"5.471,00",asado(efec),,,vie 14 de oct de 22,"1.829,00",pedidoya,,,,,,,,,
sáb 3 de sep de 22,"1.177,00",pedidoya,,,sáb 15 de oct de 22,"2.088,00",pedidoya,,,,,,,,,
lun 5 de sep de 22,"1.079,00",pedidoya,,,lun 24 de oct de 22,"1.197,00",pedidosya,,,,,,,,,
mié 7 de sep de 22,"1.230,34",nafta,,,dom 23 de oct de 22,"2.279,00",pedidosya,,,,,,,,,
mié 7 de sep de 22,"1.251,00",pedidoya,,,jue 27 de oct de 22,"2.829,00",pedidosya,,,,,,,,,
dom 11 de sep de 22,"1.500,00",helado,,,,,,,,,,,,,,
sáb 17 de sep de 22,"1.800,00",nafta,,,,,,,,,,,,,,
sáb 17 de sep de 22,"1.257,00",pedidoya,,,,,,,,,,,,,,
lun 19 de sep de 22,"1.540,00",pedidoya,,,,,,,,,,,,,,
,"711,50",intereses,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
uno/seis,"4.995,00",camisetas,x,,,,,,,,,,,,,
uno/seis,"2.341,25",luces,x,,,,,,,,,,,,,
dos/seis,"2.165,00",borregos,x,,,,,,,,,,,,,
cinco/nueve,"3.324,00",calefactor,x,,,,,,,,,,,,,
tres/doce,"1.631,16",jetsmart,x,,,,,,,,,,,,,
cuatro/seis,"985,00",chromecast,x,,,,,,,,,,,,,
tres/seis,"1.527,40",boxers,x,,,,,,,,,,,,,
tres/tres,"3.777,00",joggineta,x,,,,,,,,,,,,,
cuatro/doce,"970,41",GAFAS,x,,,,,,,,,,,,,
cuatro/seis,"3.747,00",PARLANTE,x,,,,,,,,,,,,,
TOTAL,"43.849,06",,,,,,,,,,,,,,,
,,,,,TOTAL,"11.820,00",,,,,,,,,,
