,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,dom 01/ene 23,,
,,,,,,,,,,,,,,lun 02/ene 23,"1.800,00",tabaco
,,,,,,,,,,,,,,mar 03/ene 23,,
,,,,,,,,,,,,,,mié 04/ene 23,,
GASTOS,,,,PAGOS,,,,INGRESOS,,,jue 05/ene 23,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,vie 06/ene 23,"700,00",pelu
mié 4 de ene de 23,"51.442,28",tarjeta,,,vie 6 de ene de 23,"31.800,00",alquler,,,,"106.523,51",Resto,,sáb 07/ene 23,,
jue 5 de ene de 23,"33.500,00",suplementos,,,dom 1 de ene de 23,"10.582,68",prestamo meja,,,dom 1 de ene de 23,"177.354,38",sueldo,,dom 08/ene 23,,
mié 25 de ene de 23,"8.000,00",flete,,,dom 1 de ene de 23,"11.166,63",prestamo new,,,,,,,lun 09/ene 23,"3.000,00",futbol varios
sáb 28 de ene de 23,"1.400,00",pastis,,,dom 1 de ene de 23,"12.632,53",prestamo fibra,,,TOTAL,"283.877,89",,,mar 10/ene 23,"850,00",farmacia
lun 30 de ene de 23,"48.750,00",rescición,,,mié 28 de dic de 22,"13.199,34",osde,,, ,,,,mié 11/ene 23,,
,,,,,,,,,,DIARIO,Días restantes,Días totales,,jue 12/ene 23,,
,,,,,,,,,,508,1,31,,vie 13/ene 23,,
,,,,,lun 2 de ene de 23,"5.000,00",gym,,,,,30,,sáb 14/ene 23,,
,,,,,,,,,,TOTAL,15748,GASTADO,,dom 15/ene 23,"600,00",birra
,,,,,,,,,,RESTO,25,524,,lun 16/ene 23,,
mar 31 de ene de 23,"1.000,00",huevos,,,vie 13 de ene de 23,"2.903,47",luz,,,SALDO,1738,15723,,mar 17/ene 23,"2.360,00",lomo birra
mar 24 de ene de 23,"1.120,00",frutas,,,jue 5 de ene de 23,"1.058,08",internet,,,,,,,mié 18/ene 23,,
lun 2 de ene de 23,"5.080,00",pollo y verdu,,,vie 20 de ene de 23,"815,02",gas,,,SALDO,,,,jue 19/ene 23,"2.490,00",birras varias
mié 4 de ene de 23,"3.396,06",super,,,,,,,,,,,,vie 20/ene 23,"140,00",pan
mar 10 de ene de 23,"950,00",toma huevos,,,,,,,,TOTAL,"31.126,11",,,sáb 21/ene 23,,
jue 12 de ene de 23,"2.700,00",pollo,,,,,,,,,"-75397,4000000005",,,dom 22/ene 23,"400,00",pan
sáb 14 de ene de 23,"1.640,00",frutas,,,,,,,,,,,,lun 23/ene 23,,
lun 16 de ene de 23,"600,00",verdus,,,,,,,,,,,,mar 24/ene 23,"700,00",pelu
mié 18 de ene de 23,"3.708,03",super,,,mié 1 de feb de 23,"-5.216,00",Sobrante(?),,,,,,,mié 25/ene 23,,
sáb 21 de ene de 23,"3.000,00",pollo,,,mié 28 de dic de 22,"-13.199,34",pagadoDic,,,,,,,jue 26/ene 23,,
TOTAL,"166.286,37",,,,TOTAL,"70.742,41",,,,,,,,vie 27/ene 23,,
,,,,,,,,,,,,,,sáb 28/ene 23,"970,00",tortitas varios
,,,,,,,,,,SALDO BANCO,"31802,59",,,dom 29/ene 23,,
,,,,,,,,,,EFECTIVO,560,,,lun 30/ene 23,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"32362,59",,,mar 31/ene 23,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"1236,48333333345",,,,,
ocho/nueve,"3.324,00",calefactor,x,,sáb 7 de ene de 23,"1.713,00",pedidosya,,,,,,,,,
siete/doce,"970,41",GAFAS,x,,,,,,,,,,,,,
seis/doce,"1.631,16",jetsmart,x,,,,,,,,,,,,,
seis/seis,"1.527,40",boxers,x,,,,,,,,,,,,,
cinco/seis,"2.165,00",borregos,x,,,,,,,,,,,,,
cuatro/seis,"2.341,25",luces,x,,,,,,,,,,,,,
cuatro/seis,"4.995,00",camisetas,x,,,,,,,,,,,,,
tres/seis,"2.586,50",starfeet,x,,,,,,,,,,,,,
dos/tres,"6.909,73",zapasmias,x,,,,,,,,,,,,,
dos/tres,"1.870,01",ortopedia,x,,,,,,,,,,,,,
dos/tres,"3.229,33",mediasChetas,x,,,,,,,,,,,,,
vie 25 de nov de 22,"7.411,00",asado,x,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,
mié 7 de dic de 22,"9.732,63",super,x,,,,,,,,,,,,,
dom 4 de dic de 22,"2.221,00",pedidosya,x,,,,,,,,,,,,,
mié 14 de dic de 22,"1.827,00",pedidosya,x,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,
lun 21 de nov de 22,"-1.299,14",super,x,,,,,,,,,,,,,
,,,,,TOTAL,"1.713,00",,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL,"51.442,28",,,,,,,,,,,,,,,
