,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mié 01/feb 23,,
,,,,,,,,,,,,,,jue 02/feb 23,"1.600,00",birras
,,,,,,,,,,,,,,vie 03/feb 23,,
,,,,,,,,,,,,,,sáb 04/feb 23,,
GASTOS,,,,PAGOS,,,,INGRESOS,,,dom 05/feb 23,"160,00",pan,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,lun 06/feb 23,"500,00",futbol
mié 1 de feb de 23,"57.646,78",tarjeta,,,lun 30 de ene de 23,"48.750,00",rescición,,,,"31.126,11",Resto,,mar 07/feb 23,,
sáb 4 de feb de 23,"5.350,00",casoriomeli,,,mié 1 de feb de 23,"10.568,01",prestamo meja,,,mié 1 de feb de 23,"243.406,47",sueldo,,mié 08/feb 23,,
lun 6 de feb de 23,"31.500,00",mehari,,,mié 1 de feb de 23,"11.160,49",prestamo new,,,,,,,jue 09/feb 23,,
lun 6 de feb de 23,"5.000,00",juanma,,,mié 1 de feb de 23,"12.614,95",prestamo fibra,,,TOTAL,"274.532,58",,,vie 10/feb 23,"2.140,00",
lun 6 de feb de 23,"6.000,00",aire abu,,,mié 1 de feb de 23,"11.551,36",osde,,, ,,,,sáb 11/feb 23,,
jue 9 de feb de 23,"13.500,00",mehari,,,,,,,,DIARIO,Días restantes,Días totales,,dom 12/feb 23,"2.700,00",lomo papas birra
vie 10 de feb de 23,"950,00",pantalon,,,,,,,,850,1,28,,lun 13/feb 23,,
lun 13 de feb de 23,"1.950,00",tafirol,,,vie 3 de feb de 23,"6.000,00",gym,,,,,27,,mar 14/feb 23,"700,00",pan tortitas
mié 15 de feb de 23,"50.000,00",armadopedro,,,vie 17 de feb de 23,"1.409,99",telefono,,,TOTAL,23800,GASTADO,,mié 15/feb 23,,
vie 17 de feb de 23,"10.000,00",armadopedro,,,,,,,,RESTO,-3398,1007,,jue 16/feb 23,"1.480,00",cafe
,,,,,,,,,,SALDO,2720,27198,,vie 17/feb 23,"600,00",pan
,,,,,,,,,,,,,,sáb 18/feb 23,"3.000,00",lomo papas birra
mié 1 de feb de 23,"4.011,98",super,,,,,,,,SALDO,,,,dom 19/feb 23,"0,00",
mar 3 de ene de 23,"2.150,00",pollo,,,,,,,,,,,,lun 20/feb 23,"430,00",cerveza
mar 7 de feb de 23,"678,00",frutas,,,,,,,,TOTAL,"9.254,57",,,mar 21/feb 23,"200,00",pan
vie 10 de feb de 23,"1.600,00",carne,,,,,,,,,"-21871,54",,,mié 22/feb 23,"500,00",cerveza
sáb 11 de feb de 23,"1.670,00",verduras,,,,,,,,,,,,jue 23/feb 23,"1.570,00",arito pelu
mié 15 de feb de 23,"5.472,88",super,,,jue 23 de feb de 23,"-15.900,00",(?),,,,,,,vie 24/feb 23,"500,00",birras
mié 15 de feb de 23,"2.120,00",pollo,,,lun 30 de ene de 23,"-24,43",cometa,,,,,,,sáb 25/feb 23,"500,00",pan
jue 23 de feb de 23,"1.100,00",huevos,,,lun 30 de ene de 23,"-48.750,00",mes pasado,,,,,,,dom 26/feb 23,"500,00",birras
TOTAL,"200.699,64",,,,TOTAL,"37.380,37",,,,,,,,lun 27/feb 23,"1.000,00",pan futbol
,,,,,,,,,,,,,,mar 28/feb 23,"3.000,00",lomo papas birra
,,,,,,,,,,SALDO BANCO,"6699,91",,,mié 01/mar 23,,
,,,,,,,,,,EFECTIVO,2600,,,jue 02/mar 23,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"9299,91",,,vie 03/mar 23,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"45,3433333334597",,,,,
nueve/nueve,"3.324,00",calefactor,x,,lun 6 de feb de 23,"3.354,00",pedidosYa,,,,,,,,,
siete/doce,"1.631,16",jetsmart,x,,mar 21 de feb de 23,"2.764,00",pedidosYa,,,,,,,,,
ocho/doce,"970,41",GAFAS,x,,,,,,,,,,,,,
seis/seis,"2.165,00",borregos,x,,,,,,,,,,,,,
cinco/seis,"2.341,25",luces,x,,,,,,,,,,,,,
cinco/seis,"4.995,00",camisetas,x,,,,,,,,,,,,,
cuatro/seis,"2.586,50",starfeet,x,,,,,,,,,,,,,
tres/tres,"1.870,01",ortopedia,x,,,,,,,,,,,,,
tres/tres,"6.909,73",zapasmias,x,,,,,,,,,,,,,
tres/tres,"3.229,33",mediasChetas,x,,,,,,,,,,,,,
uno/seis,"1.827,35",maflabici,x,,,,,,,,,,,,,
uno/tres,"3.212,69",masha,x,,,,,,,,,,,,,
mar 27 de dic de 22,"14.608,46",lompa,x,,,,,,,,,,,,,
mié 28 de dic de 22,"4.244,46",super,x,,,,,,,,,,,,,
jue 22 de dic de 22,"1.417,66",pedidosya,x,,,,,,,,,,,,,
mié 4 de ene de 23,"3.396,06",super,x,,,,,,,,,,,,,
sáb 7 de ene de 23,"1.713,00",pedidosya,x,,,,,,,,,,,,,
jue 7 de dic de 23,"-1.946,40",super,x,,,,,,,,,,,,,
jue 28 de dic de 23,"-848,89",super,x,,TOTAL,"6.118,00",,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL,"57.646,78",,,,,,,,,,,,,,,
