cinco/seis,"4.454,85",miBand7,,,,,,,,FECHA,MONTO,CONCEPTO,,agua,"0,00","215,79","215,79",,21/11/23
,,,,,,,,,,tres/tres,"6.666,67",pantalon,,osde,"0,00","907,48","907,48",,12/11/23
,,,,,,,,,,dos/doce,"21.958,33",brackets,,gas,"0,00","31,73","31,73",,05/11/23
,,,,,,,,,,dos/seis,"3.686,86",taladro,,goCuotas,"0,00","47,82","47,82",,
,,,,,,,,,,dos/doce,"1.657,44",jetSmart,,semanaDos,0,"46,28","46,28",,
,,,,,,,,,,jue 28 de sep de 23,"5.840,00",pedidosYa,,semanaTer,0,"46,28","46,28",,
,,,,,,,,,,vie 13 de oct de 23,"16.010,00",pedidosYa,,semanaCua,0,"46,28","46,28",,
,,,,,,,,,,uno/seis,"1.367,00",medias,,autito,0,"1593,84","1593,84",,
,,,,,,,,,,,,,,tattoo,0,0,0,,
,,,,,,,,,,,,,,alquiler,11631,"5810,4","17441,4",,08/11/23
,,,,,,,,,,,,,,dentista,"0,00","549,77","549,77",,15/11/23
,,,,,,,,,,,,,,SemanaTer(2),0,"42,04","42,04",,
,,,,,,,,,,,,,,SemanaCua(2),0,"336,09","336,09",,
,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,,,,"-2.460,22",promo(?),,total,11631,"9673,8","21304,8",,
TOTAL,"12.505,67",,,,TOTAL,"0,00",,,,TOTAL,"54.726,08",,,,INV,REND,TOTAL,,
