GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"12813,3416666667",,,jue 31/oct 24,"2.000,00",sube,jue 31/oct 24,"7,80",,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-168510,543333335",,,,,,TOTAL,"345,91",,,,
cuatro/seis,"16.866,50",camisetaAfa,x,,,,,,,,,,,,,,,,,,,
tres/seis,"15.313,50",armario,x,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
tres/tres,"33.054,50",filaVarios,x,,,,,,,FECHA,MONTO,CONCEPTO,,alquiler,"60.426,40","4573,6",65000,,20/05/24,,,
tres/tres,"16.000,00",vinos,x,,,,,,,,,,,autito,"50.000,00","1755,61","51755,61",,13/05/24,,,
tres/tres,"24.028,20",easy,x,,,,,,,,,,,emergencia,"50.000,00","1755,58","51755,58",,06/05/24,,,
,,,,,,,,,,seis/seis,"24.958,34",suple,,semanaCua,,"1779,3",,,,,,
,,,,,,,,,,cuatro/seis,"12.209,83",chaleco,,,,,,,,,,
,,,,,,,,,,cuatro/seis,"6.854,59",tabacoMayo,*,semanaTres,,"1390,54",,,,,,
,,,,,,,,,,dos/tres,"34.996,67",proteWorkUp,*,semanaDos,,"853,58",,,,,,
,,,,,,,,,,dos/cuatro,"18.318,44",easy,*,teléfono,,"40,4",,,,,,
,,,,,,,,,,disney+,"3.999,00",nivel6,*,dentista,,"30,37",,,,,,
,,,,,,,,,,dos/seis,"17.264,77",tabacoJulio,*,osde,,"154,31",,,,,,
,,,,,,,,,,uno/nueve,"18.491,40",pasajes,*,agua,,"469,27",,,,,,
,,,,,,,,,,disney+,"3.058,16",plasplas,*,,,,,,,,,
,,,,,,,,,,uno/seis,"22.466,70",zaps,*,,,,,,,,,
,,,,,,,,,,uno/seis,"15.583,20",auris,*,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,varios,,,,,,,,,,,,total,"160426,4","12802,56","168511,19",,,,,
TOTAL,"105.262,70",,,,TOTAL,"0,00",,,,TOTAL,"178.201,10",,,,INV,REND,TOTAL,,,,,
