,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,sáb 01/ago 20,"620,00",tiro
,,,,,,,,,,,,,,dom 02/ago 20,"550,00",helado
,,,,,,,,,,,,,,lun 03/ago 20,,
,,,,,,,,,,,,,,mar 04/ago 20,,
GASTOS,,,,PAGOS,,,,INGRESOS,,,mié 05/ago 20,"260,00",limpieza,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,jue 06/ago 20,"820,00",lomo
,,,,,sáb 1 de ago de 20,"3.246,28",préstamo,,,sáb 1 de ago de 20,"-3.394,00",Resto,,vie 07/ago 20,"170,00",pan/varios
sáb 8 de ago de 20,"4.000,00",auto,,,vie 7 de ago de 20,"4.000,00",abuela,,,sáb 1 de ago de 20,"48.497,27",sueldo,,sáb 08/ago 20,"500,00",nafta meha
mié 5 de ago de 20,"3.000,00",municiones,,,dom 9 de ago de 20,"2.000,00",telefono,,,sáb 1 de ago de 20,"1,89",,,dom 09/ago 20,,
sáb 1 de ago de 20,"16,29",intereses,,,mar 4 de ago de 20,"2.260,00",osde,,,TOTAL,"45.105,16",,,lun 10/ago 20,,
sáb 1 de ago de 20,"3,42",iva,,,lun 10 de ago de 20,"1.367,00",sef/moto,,, ,,,,mar 11/ago 20,,
sáb 22 de ago de 20,"4.400,00",suplementos,,,mié 5 de ago de 20,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,mié 12/ago 20,"500,00",nafta meha
sáb 22 de ago de 20,"-10.000,00",lala,,,mar 4 de ago de 20,"1.150,00",agua,,,250,1,31,,jue 13/ago 20,,
jue 27 de ago de 20,"6.050,00",zapas,,,,,,,,,,30,,vie 14/ago 20,"260,00",birras
sáb 15 de ago de 20,"1.830,00",super,,,,,,,,TOTAL,7750,GASTADO,,sáb 15/ago 20,,
mar 18 de ago de 20,"3.477,11",farmacia,,,,,,,,RESTO,470,243,,dom 16/ago 20,"500,00",nafta meha
mar 25 de ago de 20,"500,00",barbijos,,,,,,,,SALDO,470,7280,,lun 17/ago 20,"600,00",tacos
,,,,,,,,,,,,,,mar 18/ago 20,"180,00",filtros
,,,,,,,,,,SALDO,,,,mié 19/ago 20,"580,00","lomo, papas, birra"
,,,,,,,,,,,,,,jue 20/ago 20,,
,,,,,,,,,,TOTAL,"8.525,06",,,vie 21/ago 20,,
,,,,,,,,,,,"11919,06",,,sáb 22/ago 20,"440,00",pan/varios
,,,,,,,,,,,,,,dom 23/ago 20,"500,00",nafta meha
,,,,,,,,,,,,,,lun 24/ago 20,"400,00",ferretería
,,,,,,,,,,,,,,mar 25/ago 20,,
,,,,,,,,,,,,,,mié 26/ago 20,,
TOTAL,"13.276,82",,,,TOTAL,"16.023,28",,,,,,,,jue 27/ago 20,"400,00","lomo, papas, birra"
,,,,,,,,,,,,,,vie 28/ago 20,,
,,,,,,,,,,,,,,sáb 29/ago 20,,
,,,,,,,,,,,,,,dom 30/ago 20,,
,,,,,,,,,,,,,,lun 31/ago 20,,
