GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"82461,21",,,mié 31/jul 24,"4.400,00",pelu,mié 31/jul 24,"10,94",por semana,"75525,7025",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,224999999671127",,,,,,TOTAL,"244,96",,,,
mar 7 de may de 24,"-27.408,00",devolucion,x,,lun 29 de jul de 24,"10.519,00",pedidosYa,,,,,,,,,,,,,,,
uno/tres,"14.262,33",creatina,x,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
mar 28 de may de 24,"13.629,00",pedidosYa,x,,,,,,,FECHA,MONTO,CONCEPTO,,agua,,"280,63",,,25/07/24,,,
jue 30 de may de 24,"23.001,00",super,x,,,,,,,diez/doce,"21.958,33",brackets,,alquiler,,"2206,27",,,,,,
jue 30 de may de 24,"65.821,00",farmacity,x,,,,,,,diez/doce,"1.657,32",jetSmart,,autito,,"1747,1",,,,,,
uno/seis,"16.866,50",camisetaAfa,x,,,,,,,seis/seis,"4.524,00",farmacia,,dentista,,"578,77",,,,,,
dom 9 de jun de 24,"13.477,00",pedidosYa,x,,,,,,,seis/seis,"2.569,43",espejoMeha,,osde,,"664,26",,,,,,
mar 11 de jun de 24,"6.545,00",pedidosYa,x,,,,,,,tres/seis,"24.958,34",mochi,,semanaTer,,"138,28",,,,,,
mar 11 de jun de 24,"7.949,00",pedidosYa,,,,,,,,tres/tres,"13.000,42",chalecoNa,,semanaCua,,"1461,7",,,,,,
,"0,01",,,,,,,,,tres/tres,"78.291,35",borcegos,,semanaDos,,"278,02",,,,,,
,,,,,,,,,,uno/seis,"12.209,85",chaleco,,semanaTres,,"813,19",,,,,,
,,,,,,,,,,dom 26 de may de 24,"13.829,00",pedidosYa,,semana3,,"314,94",,,,,,
,,,,,,,,,,uno/seis,"6.854,62",tabacoMayo,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,varios,,,,,,,,,,varios,,total,0,"8483,16",0,,,,,
TOTAL,"134.142,84",,,,TOTAL,"10.519,00",,,,TOTAL,"179.852,67",,,,INV,REND,TOTAL,,,,,
