,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,"0,00",varios,,,,,,,,,,varios,,total,"610287,76",0,"238591,76",,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"83.513,37",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"37.711,15",,,,,,,,,,,,,,,,,,,,
,autito,0,,,,,,,,,,,,,,,,,,,"219.835,00",binanceTotal
,emergencia,"100491,72",,,,,,,,,,,,,,,,,,,,
,binanceTotal,"779.835,00",,,,,,,,,,,,,,,,,,,,
,total,"73.898,77",,,,,,,,,,,,,,,,,,,,
,sueldo,"930.631,15",,,,,,,,,,,,,,,,,,,,
