,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mié 01/dic 21,"0,00",
,,,,,,,,,,,,,,jue 02/dic 21,"0,00",
,,,,,,,,,,,,,,vie 03/dic 21,"650,00",papa tomate pan FUTBOL
,,,,,,,,,,,,,,sáb 04/dic 21,"1.900,00",lomo y cerveza
GASTOS,,,,PAGOS,,,,INGRESOS,,,dom 05/dic 21,"50,00",pan,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,lun 06/dic 21,"0,00",
sáb 4 de dic de 21,"1.000,00",pollo,,,mié 1 de dic de 21,"3.093,13",préstamo,,,,"-23.867,07",Resto,,mar 07/dic 21,"600,00",huevos bananas tomates
dom 5 de dic de 21,"8.400,00",marimba,,,mar 7 de dic de 21,"21.000,00",alquler,,,mié 1 de dic de 21,"114.572,80",sueldo,,mié 08/dic 21,"0,00",
sáb 11 de dic de 21,"15.590,00",navidad,,,mar 7 de dic de 21,"1.790,00",telefono,,,mié 15 de dic de 21,"30.150,46",aguinaldo,,jue 09/dic 21,"700,00",tabaco pan
jue 16 de dic de 21,"3.900,00",relojes,,,vie 3 de dic de 21,"6.157,17",osde,,,TOTAL,"120.856,19",,,vie 10/dic 21,"1.790,00",lomo y cerveza
jue 16 de dic de 21,"1.120,00",pollo,,,,,,,, ,,,,sáb 11/dic 21,"100,00",verduras
jue 16 de dic de 21,"2.000,00",osteo,,,vie 10 de dic de 21,"2.200,00",gym,,,DIARIO,Días restantes,Días totales,,dom 12/dic 21,"0,00",
sáb 18 de dic de 21,"2.600,00",electrónica,,,,,,,,590,1,31,,lun 13/dic 21,"0,00",
sáb 18 de dic de 21,"800,00",aceite,,,mié 1 de dic de 21,"10.735,82",auto,,,,,30,,mar 14/dic 21,"40,00",pan
vie 17 de dic de 21,"2.000,00",raspberry,,,vie 3 de dic de 21,"2.502,00",internet,,,TOTAL,18290,GASTADO,,mié 15/dic 21,"650,00","mila, tomate, birra"
lun 20 de dic de 21,"1.500,00",protector,,,,,,,,RESTO,-1293,653,,jue 16/dic 21,"90,00",estacionamiento
lun 20 de dic de 21,"9.040,00",filtro de agua pro,,,mar 7 de dic de 21,"5.612,75",bici,,,SALDO,-1293,19583,,vie 17/dic 21,"2.030,00",futbol loo papas
mié 22 de dic de 21,"1.200,00",pollo,,,mar 7 de dic de 21,"2.753,00",zapas,,,,,,,sáb 18/dic 21,"300,00",frutas y pan
mié 22 de dic de 21,"1.920,00",carnet,,,vie 3 de dic de 21,"427,37",gas,,,SALDO,,,,dom 19/dic 21,"0,00",
mié 22 de dic de 21,"4.159,00",teclado,,,jue 16 de dic de 21,"983,36",luz,,,,,,,lun 20/dic 21,"1.850,00",super peluquero huevos tomates futbol
vie 24 de dic de 21,"3.500,00",coolers pro,,,mié 1 de dic de 21,"935,77",comision(?),,,TOTAL,"-19.946,88",,,mar 21/dic 21,"250,00",lillos pan
mar 28 de dic de 21,"1.060,00",pollo,,,jue 16 de dic de 21,"430,70",gas,,,,"3920,19",,,mié 22/dic 21,"1.350,00",cumple meli aparte
jue 30 de dic de 21,"2.810,00",carnet,,,,,,,,,,,,jue 23/dic 21,"1.136,00",cumple meli
,,,,,,,,,,,,,,vie 24/dic 21,"0,00",
,,,,,,,,,,,,,,sáb 25/dic 21,"0,00",
,,,,,,,,,,,,,,dom 26/dic 21,"110,00",pan
TOTAL,"62.599,00",,,,TOTAL,"58.621,07",,,,,,,,lun 27/dic 21,"1.910,00",tomates futbol lomo
,,,,,,,,,,,,,,mar 28/dic 21,"470,00",avena frutas
,,,,,,,,,,saldo banco,"-19947,58",,,mié 29/dic 21,"1.720,00",tabaco futbol asado
,,,,,,,,,,efectivo,0,-2810,,jue 30/dic 21,"530,00",tomates huevos
,,,,,,16000,,,,TOTAL,"-19947,58",,,vie 31/dic 21,"1.357,00",
,,,,,,10980,,,,RESTO,"0,700000000000728",,,,,
,,,,,,,,,,,,,,,,
,5180,,,,,,,,,,,,,,,
