,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/nov 22,"4.000,00",almuerzo
,,,,,,,,,,,,,,mié 02/nov 22,"0,00",
,,,,,,,,,,,,,,jue 03/nov 22,"2.380,00",birras taxi
,,,,,,,,,,,,,,vie 04/nov 22,"900,00",pan farmacia
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/nov 22,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/nov 22,"600,00",pan
mié 2 de nov de 22,"72.078,71",tarjeta,,,mié 9 de nov de 22,"31.800,00",alquler,,,,"124.642,52",Resto,,lun 07/nov 22,"0,00",
,,,,,mar 1 de nov de 22,"10.610,63",prestamo meja,,,lun 1 de ago de 22,"187.787,49",sueldo,,mar 08/nov 22,"0,00",
lun 14 de nov de 22,"22.000,00",suplementos,,,mar 1 de nov de 22,"11.178,20",prestamo new,,,,,,,mié 09/nov 22,"400,00",birra papita
vie 18 de nov de 22,"2.300,00",bici,,,mar 1 de nov de 22,"12.664,63",prestamo fibra,,,TOTAL,"312.430,01",,,jue 10/nov 22,"200,00",pan
,,,,,mar 25 de oct de 22,"10.581,42",osde,,, ,,,,vie 11/nov 22,"1.700,00",asado
,,,,,,,,,,DIARIO,Días restantes,Días totales,,sáb 12/nov 22,"1.360,00",birras
,,,,,,,,,,997,1,30,,dom 13/nov 22,"100,00",pan
,,,,,lun 7 de nov de 22,"5.000,00",gym,,,,,29,,lun 14/nov 22,"1.500,00",lomo
,,,,,,,,,,TOTAL,29910,GASTADO,,mar 15/nov 22,"2.000,00",fernet
,,,,,,,,,,RESTO,614,1010,,mié 16/nov 22,"0,00",
,,,,,jue 17 de nov de 22,"1.349,05",gas,,,SALDO,7320,29296,,jue 17/nov 22,"360,00",
,,,,,sáb 5 de nov de 22,"1.058,08",internet,,,,,,,vie 18/nov 22,"3.480,00",birras
sáb 5 de nov de 22,"1.400,00",verdu,,,dom 20 de nov de 22,"2.004,48",electricidad,,,SALDO,,,,sáb 19/nov 22,"2.000,00",birrass
mar 8 de nov de 22,"2.780,00",pollo,,,lun 28 de nov de 22,"13.406,17",osdeDIc,,,,,,,dom 20/nov 22,"300,00",prode
lun 14 de nov de 22,"820,00",jamon tomate,,,,,,,,TOTAL,"81.534,07",,,lun 21/nov 22,"240,00",filtros
mar 15 de nov de 22,"600,00",huevos,,,,,,,,,"-43108,4566666665",,,mar 22/nov 22,"700,00",pelu
mié 16 de nov de 22,"2.150,00",pollo,,,,,,,,,,,,mié 23/nov 22,"0,00",
jue 24 de nov de 22,"3.370,00",pollo,,,,,,,,,,,,jue 24/nov 22,"0,00",
sáb 26 de nov de 22,"4.550,00",asado,,,lun 7 de nov de 22,"-1.000,00",gym,,,,,,,vie 25/nov 22,"0,00",
lun 28 de nov de 22,"1.480,00","verdu, avena, huevos",,,mar 25 de oct de 22,"-10.581,42",pagado en oc,,,,,,,sáb 26/nov 22,"0,00",
TOTAL,"113.528,71",,,,TOTAL,"88.071,24",,,,,,,,dom 27/nov 22,"0,00",
,,,,,,,,,,,,,,lun 28/nov 22,"370,00",
,,,,,,,,,,SALDO BANCO,"87.290,97",,,mar 29/nov 22,,
,,,,,,,,,,EFECTIVO,600,,,mié 30/nov 22,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"87890,97",,,jue 01/dic 22,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"6356,90333333347",,,,,
seis/nueve,"3.324,00",calefactor,,,jue 3 de nov de 22,"1.309,00",pedidosya,,,,,,,,,
cuatro/doce,"1.631,16",jetsmart,,,dom 6 de nov de 22,"2.379,00",pedidosya,,,,"6356,90333333347",,,,,
cinco/seis,"985,00",chromecast,,,sáb 19 de nov de 22,"3.018,00",pedidosya,,,,,,,,,
cuatro/seis,"1.527,40",boxers,,,,,,,,,,,,,,
cinco/doce,"970,41",GAFAS,,,,,,,,,,,,,,
cinco/seis,"3.747,00",PARLANTE,,,,,,,,,,,,,,
tres/seis,"2.165,00",borregos,,,,,,,,,,,,,,
dos/seis,"2.341,25",luces,,,,,,,,,,,,,,
dos/seis,"4.995,00",camisetas,,,,,,,,,,,,,,
vie 23 de sep de 22,"1.449,00",pedidoya,,,,,,,,,,,,,,
mié 21 de sep de 22,"3.502,96",super,,,,,,,,,,,,,,
mar 4 de oct de 22,"685,89",cabi,,,,,,,,,,,,,,
mié 5 de oct de 22,"3.130,51",super(desc),,,,,,,,,,,,,,
jue 6 de oct de 22,"2.000,00",nafta,,,,,,,,,,,,,,
uno/seis,"2.586,50",starfeet,,,,,,,,,,,,,,
jue 10 de nov de 22,"1.300,00",nafta,,,,,,,,,,,,,,
mié 12 de oct de 22,"17.992,51",Zapas-matre,,,,,,,,,,,,,,
mié 12 de oct de 22,"1.598,00",pedidoya,,,,,,,,,,,,,,
vie 14 de oct de 22,"9.900,00",balanza,,,TOTAL,"6.706,00",,,,,,,,,,
vie 14 de oct de 22,"1.829,00",pedidoya,,,,,,,,,,,,,,
sáb 15 de oct de 22,"2.088,00",pedidoya,,,,,,,,,,,,,,
mar 18 de oct de 22,"2.329,00",pedidoya,,,,,,,,,,,,,,
,"1,12",,,,,,,,,,,,,,,
TOTAL,"72.078,71",,,,,,,,,,,,,,,
